"","geneSymbol","mRNA_medvals"
"TNFRSF13B","TNFRSF13B",3.21155
"MKKS","MKKS",819.79045
"TBX21","TBX21",8.0491
"NEUROG3","NEUROG3",0
"SLC12A6","SLC12A6",548.9856
"TAS2R16","TAS2R16",0
"LRAT","LRAT",6.6194
"CD207","CD207",7.874
"EVC","EVC",138.5599
"KL","KL",12.108
"ABHD5","ABHD5",370.77245
"ACAD8","ACAD8",405.60135
"NPHS2","NPHS2",0
"SYCP3","SYCP3",0
"AKR1D1","AKR1D1",0.05965
"TSFM","TSFM",495.4001
"TFR2","TFR2",34.07965
"TSPYL1","TSPYL1",1961.9451
"RRM2B","RRM2B",842.1812
"LTBP4","LTBP4",973.0276
"MERTK","MERTK",211.0587
"AKAP10","AKAP10",380.6598
"PTGDR","PTGDR",4.87105
"HOXA2","HOXA2",10.1351
"CD209","CD209",67.35625
"SLC40A1","SLC40A1",2375.0833
"MAPK8IP1","MAPK8IP1",315.7731
"ACTN4","ACTN4",11586.44115
"EFEMP2","EFEMP2",495.1203
"NR0B2","NR0B2",0
"MMP20","MMP20",0
"HSPB3","HSPB3",0.21675
"LGI1","LGI1",0
"TBX19","TBX19",47.0462
"WRN","WRN",286.87605
"BLM","BLM",224.34895
"KALRN","KALRN",141.7741
"TCIRG1","TCIRG1",1247.5176
"FCGR2B","FCGR2B",177.1523
"PDGFRL","PDGFRL",68.83115
"AFG3L2","AFG3L2",1656.0432
"FBLN5","FBLN5",310.4332
"FZD4","FZD4",493.4587
"CNTNAP2","CNTNAP2",5.9512
"ALG6","ALG6",334.33485
"ICOS","ICOS",16.3162
"ADAMTS2","ADAMTS2",123.5856
"IDH3B","IDH3B",1295.84635
"BLNK","BLNK",164.7836
"TRIP11","TRIP11",795.7909
"SACS","SACS",387.25515
"TCAP","TCAP",22.1314
"NR2E3","NR2E3",1.9006
"IRAK3","IRAK3",171.3231
"SP110","SP110",310.6752
"KCNE3","KCNE3",323.5755
"GJB6","GJB6",0.3873
"GPC6","GPC6",142.9664
"ST3GAL5","ST3GAL5",116.0842
"MLH3","MLH3",325.88075
"AIPL1","AIPL1",0
"TRPS1","TRPS1",249.70095
"ATP2C1","ATP2C1",2631.7594
"CHEK2","CHEK2",154.1884
"DNAI1","DNAI1",1.0115
"PROM1","PROM1",94.8657
"B4GALT7","B4GALT7",623.56745
"PPP2R2B","PPP2R2B",22.882
"SLC17A5","SLC17A5",556.596
"TINF2","TINF2",1095.32775
"GALK1","GALK1",420.28435
"CST3","CST3",3856.4032
"GRHPR","GRHPR",1381.295
"RAD54B","RAD54B",133.536
"AGXT","AGXT",0
"PRG4","PRG4",5.8575
"SPAST","SPAST",611.2384
"SCO2","SCO2",858.5217
"LRP4","LRP4",140.0227
"STAT5B","STAT5B",1050.32765
"DLC1","DLC1",513.83905
"RNF6","RNF6",996.422
"CD2AP","CD2AP",1412.7084
"CRLF1","CRLF1",39.0661
"SLC34A2","SLC34A2",11.4135
"KRIT1","KRIT1",608.8925
"CRB1","CRB1",1.3576
"SNAP29","SNAP29",956.9293
"SLC27A4","SLC27A4",680.017
"SLC22A4","SLC22A4",42.618
"RPL11","RPL11",10455.2189
"KISS1R","KISS1R",0.601
"SLC6A5","SLC6A5",0
"SGCE","SGCE",282.8888
"SLC7A9","SLC7A9",2.0991
"TYROBP","TYROBP",759.2103
"ADAMTS13","ADAMTS13",26.494
"TBX15","TBX15",50.0712
"RBBP8","RBBP8",1054.1928
"GPR56","GPR56",3430.4378
"MYOT","MYOT",1.3245
"GRM6","GRM6",0.9934
"EDAR","EDAR",5.86835
"PPP1R17","PPP1R17",0.00975
"RGS9","RGS9",9.6938
"MPDU1","MPDU1",1079.75315
"RAD50","RAD50",922.6257
"EIF2AK3","EIF2AK3",677.3717
"AXIN2","AXIN2",79.7441
"UNC119","UNC119",614.261
"AKAP9","AKAP9",1385.28165
"POLH","POLH",759.1065
"SCN4A","SCN4A",3.85895
"CLDN16","CLDN16",0.80125
"EIF2B5","EIF2B5",1284.362
"GYG1","GYG1",898.74005
"SLC19A2","SLC19A2",404.8764
"RP1","RP1",0.43025
"GPHN","GPHN",285.512
"HABP2","HABP2",1.1017
"SUCLA2","SUCLA2",564.29415
"ITM2B","ITM2B",12558.8623
"BAG3","BAG3",1290.8546
"RAB27A","RAB27A",553.12535
"SLC25A15","SLC25A15",234.764
"SLC25A13","SLC25A13",663.7146
"PHOX2B","PHOX2B",0
"NDUFS6","NDUFS6",749.8076
"NDUFS3","NDUFS3",1346.8485
"GNE","GNE",409.2925
"AXIN1","AXIN1",820.32555
"TGM5","TGM5",0.833
"CHST3","CHST3",534.84775
"KCNE2","KCNE2",5.4768
"LITAF","LITAF",5199.6997
"RECQL4","RECQL4",346.16145
"KLK4","KLK4",0.8129
"APOL1","APOL1",2103.6636
"ALOX12B","ALOX12B",0.6042
"IKBKAP","IKBKAP",961.173
"CLDN1","CLDN1",757.392
"GCM2","GCM2",0
"SIX3","SIX3",0.4981
"CYP7B1","CYP7B1",36.2396
"MOCS2","MOCS2",898.1514
"MOCS1","MOCS1",339.19575
"RPS26","RPS26",659.5484
"ZFPM2","ZFPM2",39.1099
"SLC33A1","SLC33A1",654.0992
"OTOF","OTOF",4.092
"PTCH2","PTCH2",10.7111
"SLC25A12","SLC25A12",457.64875
"STX16","STX16",1461.75415
"RPS7","RPS7",6785.3093
"TRPC6","TRPC6",32.5425
"BBS5","BBS5",185.4185
"BCS1L","BCS1L",316.1254
"COX15","COX15",1143.42
"SCO1","SCO1",435.0282
"RPL5","RPL5",12514.5169
"RPS10","RPS10",3957.4738
"YARS","YARS",2590.5895
"RAD54L","RAD54L",124.3132
"TNFRSF10B","TNFRSF10B",937.2218
"PLA2G6","PLA2G6",223.7678
"SLC7A7","SLC7A7",478.9041
"LARGE","LARGE",359.2093
"TRPM1","TRPM1",0
"VNN1","VNN1",49.33145
"MTMR2","MTMR2",860.5537
"EYA4","EYA4",16.7836
"KCNQ4","KCNQ4",2.17925
"BCL10","BCL10",409.49225
"LRP6","LRP6",844.5792
"LRP5","LRP5",1272.94
"DPM1","DPM1",528.32825
"TNFRSF11A","TNFRSF11A",52.9644
"AURKC","AURKC",8.4958
"WNT4","WNT4",36.2579
"CILP","CILP",50.8221
"RPS19","RPS19",11640.8271
"ASS1","ASS1",1292.7301
"FANCF","FANCF",481.0341
"PER2","PER2",371.1061
"PRKRA","PRKRA",771.1079
"PDLIM4","PDLIM4",58.6466
"SCN9A","SCN9A",8.07385
"AP3B1","AP3B1",1345.4669
"WISP3","WISP3",0.2989
"PDE8B","PDE8B",13.4862
"SYNGAP1","SYNGAP1",326.88025
"FLNB","FLNB",4832.1951
"SLC22A5","SLC22A5",220.8104
"TSHR","TSHR",5.4176
"GLE1","GLE1",947.3213
"PEX16","PEX16",393.3353
"EPAS1","EPAS1",3363.2908
"SLC4A4","SLC4A4",70.4403
"DNAH11","DNAH11",3.4893
"DNAH5","DNAH5",5.4155
"GJB3","GJB3",7.97395
"PTPRQ","PTPRQ",0.7507
"ALG10","ALG10",98.8827
"BFSP1","BFSP1",50.9222
"KLF11","KLF11",488.82015
"DYNC2H1","DYNC2H1",224.9423
"SMAD9","SMAD9",7.0686
"SHANK2","SHANK2",105.4703
"KERA","KERA",0.7332
"PNPO","PNPO",727.1246
"TP63","TP63",22.6663
"SMARCA4","SMARCA4",3274.75775
"BMPR1B","BMPR1B",37.4916
"ABCC6","ABCC6",5.3326
"LCT","LCT",0.47165
"ABCB11","ABCB11",0.30775
"RFXANK","RFXANK",764.619
"PTRF","PTRF",2019.04535
"PEX3","PEX3",281.4239
"PTPN14","PTPN14",226.6259
"PPP2R1B","PPP2R1B",627.7947
"CPN1","CPN1",0
"AGPAT2","AGPAT2",1143.7847
"B3GALNT1","B3GALNT1",198.3083
"ZIC2","ZIC2",35.01075
"AURKA","AURKA",346.9997
"PLOD3","PLOD3",1491.5509
"AGPS","AGPS",1266.5939
"COLQ","COLQ",36.3947
"TLR5","TLR5",79.27445
"TLR4","TLR4",273.8775
"TLR3","TLR3",90.2887
"TLR2","TLR2",496.443
"DYSF","DYSF",443.91905
"PAPSS2","PAPSS2",659.83445
"CUBN","CUBN",20.8711
"NOG","NOG",5.1885
"NDUFS2","NDUFS2",2272.5997
"FANCG","FANCG",398.792
"BAAT","BAAT",3.77375
"CITED2","CITED2",879.7673
"FAAH","FAAH",219.2817
"SMAD7","SMAD7",338.9305
"STXBP1","STXBP1",561.4035
"AQP7","AQP7",10.797
"DNMT3B","DNMT3B",74.8462
"MAPK10","MAPK10",6.98055
"OCLN","OCLN",7.5827
"PKP2","PKP2",136.6933
"BUB1B","BUB1B",413.9697
"PEX10","PEX10",581.4406
"DHCR7","DHCR7",1384.7977
"PSMA6","PSMA6",2131.9524
"GPR98","GPR98",30.0783
"KIF5A","KIF5A",1.6849
"SPG7","SPG7",1073.1364
"SHOC2","SHOC2",1005.7279
"RAD51C","RAD51C",252.6835
"CBX2","CBX2",128.65115
"DLL3","DLL3",8.9579
"KRT85","KRT85",0.00225
"KRT83","KRT83",0
"PHOX2A","PHOX2A",0
"GNPAT","GNPAT",1203.0765
"PRKAG2","PRKAG2",474.76035
"ALDH9A1","ALDH9A1",1295.0466
"ACVR2B","ACVR2B",369.52535
"CLCN7","CLCN7",2092.96105
"NPHS1","NPHS1",0.4018
"ADAM9","ADAM9",2627.47695
"EP300","EP300",2244.0076
"NDUFS4","NDUFS4",555.4488
"SDHD","SDHD",1854.6098
"MAD1L1","MAD1L1",480.3832
"SLC37A4","SLC37A4",1367.8922
"PITX3","PITX3",1.8685
"NBN","NBN",1352.75165
"MYO15A","MYO15A",9.4944
"TNFRSF11B","TNFRSF11B",31.1643
"TNFSF11","TNFSF11",8.9562
"SLC22A18","SLC22A18",644.48715
"TGIF1","TGIF1",1916.43075
"FKBP5","FKBP5",983.94505
"FOXE1","FOXE1",0.0158
"MGAT2","MGAT2",992.7738
"CARTPT","CARTPT",0
"OLR1","OLR1",226.45295
"LRP8","LRP8",165.20665
"LFNG","LFNG",305.3075
"TECTA","TECTA",6.2997
"SNCB","SNCB",0.68525
"MTRR","MTRR",815.73185
"PARK2","PARK2",16
"RAB3GAP1","RAB3GAP1",1377.6715
"PARK7","PARK7",4329.7901
"TUBA1A","TUBA1A",4341.8079
"POU4F3","POU4F3",0.4751
"BUB1","BUB1",474.4126
"PON2","PON2",1106.0615
"SERPINI1","SERPINI1",135.6305
"HSF4","HSF4",121.7633
"OPTN","OPTN",1668.2304
"ROBO2","ROBO2",10.6305
"CFTR","CFTR",0.9648
"SDHC","SDHC",2049.6755
"RPS24","RPS24",11168.4424
"BLMH","BLMH",383.1924
"FOXC2","FOXC2",4.24595
"ATP8B1","ATP8B1",911.4545
"TUFM","TUFM",3692.9293
"DNM2","DNM2",2754.8142
"IFNAR2","IFNAR2",522.2014
"CTSC","CTSC",2280.56265
"GATM","GATM",400.3831
"HCRT","HCRT",0.21585
"ROR2","ROR2",88.6716
"AGRP","AGRP",0.02585
"HR","HR",226.84725
"RAB7A","RAB7A",8851.1378
"AP4M1","AP4M1",331.0009
"TRIM32","TRIM32",459.75355
"SC5D","SC5D",1090.5017
"TULP1","TULP1",0.61815
"PABPN1","PABPN1",2244.35565
"GUCA1B","GUCA1B",12.41015
"TCF4","TCF4",887.7938
"SCARB2","SCARB2",6279.7988
"CD151","CD151",4810.3825
"KCNQ2","KCNQ2",0.0484
"KCNQ3","KCNQ3",3.02955
"TCF7L2","TCF7L2",321.34465
"CRX","CRX",0
"SALL1","SALL1",2.9537
"STK11","STK11",535.69865
"KCNJ10","KCNJ10",10.7692
"ECM1","ECM1",832.1934
"HSPB1","HSPB1",14760.17
"HTRA1","HTRA1",1185.1686
"NKX3-2","NKX3-2",6.05965
"MYD88","MYD88",1290.4855
"VRK1","VRK1",189.9599
"ESRRB","ESRRB",1.79635
"SNAI2","SNAI2",96.7742
"PITX1","PITX1",127.2815
"LHX4","LHX4",2.8843
"NDUFS8","NDUFS8",1012.85035
"NDUFA2","NDUFA2",1034.1161
"PEX1","PEX1",446.4383
"MYO9B","MYO9B",1928.2051
"COX10","COX10",312.0826
"DIAPH1","DIAPH1",3467.0205
"FGF10","FGF10",0.3337
"KMT2D","KMT2D",2058.1461
"MATN3","MATN3",66.3107
"SH3BP2","SH3BP2",889.0864
"LTBP2","LTBP2",1151.4109
"LTBP3","LTBP3",2064.8228
"TALDO1","TALDO1",2057.2761
"TBX1","TBX1",5.3982
"KLF6","KLF6",4180.9501
"RAC2","RAC2",537.6559
"UCP3","UCP3",14.4725
"PHYH","PHYH",539.0421
"CLCNKA","CLCNKA",0.9455
"CLCNKB","CLCNKB",3.6153
"OGG1","OGG1",368.3829
"PKP1","PKP1",4.4709
"TAPBP","TAPBP",5389.44915
"CACNB4","CACNB4",9.63425
"KRT86","KRT86",6.838
"JAG1","JAG1",1115.9927
"SUMO1","SUMO1",1977.16345
"WNT10B","WNT10B",7.19385
"GHSR","GHSR",0
"RAX","RAX",0.00335
"LEFTY2","LEFTY2",2.5462
"PLOD2","PLOD2",1074.0889
"RFX5","RFX5",945.3593
"RFXAP","RFXAP",95.8529
"HSD17B4","HSD17B4",1547.9245
"WNK4","WNK4",7.00535
"SLC5A5","SLC5A5",1.9994
"LIG4","LIG4",248.5044
"NR4A2","NR4A2",181.07705
"NDUFS7","NDUFS7",951.56855
"MCM6","MCM6",957.6594
"HESX1","HESX1",11.37295
"PEX14","PEX14",458.4663
"PEX13","PEX13",858.5392
"PMM2","PMM2",1103.6797
"CYP1B1","CYP1B1",226.9642
"VDR","VDR",451.0195
"CASP8","CASP8",661.0863
"CASP10","CASP10",411.8988
"PEX12","PEX12",284.2109
"PEX7","PEX7",178.9302
"GALNT3","GALNT3",885.232
"GLMN","GLMN",138.8087
"OSMR","OSMR",763.2851
"ATIC","ATIC",1466.2431
"PTEN","PTEN",1204.6528
"NEUROD1","NEUROD1",0
"TBX4","TBX4",1.9943
"STXBP2","STXBP2",932.9863
"PTGIS","PTGIS",160.0678
"UCP2","UCP2",3455.1418
"TGFBI","TGFBI",3179.9606
"ABCA4","ABCA4",4.8784
"PLA2G7","PLA2G7",135.6384
"HPGD","HPGD",77.8135
"KRT12","KRT12",0
"SNRNP200","SNRNP200",6222.39915
"EYA1","EYA1",4.904
"MYOC","MYOC",0.706
"UBE3A","UBE3A",1685.05425
"TWIST1","TWIST1",21.6756
"TBX3","TBX3",992.027
"TBX5","TBX5",20.616
"SOX18","SOX18",146.7763
"ABCA3","ABCA3",750.3431
"HADH","HADH",905.9834
"SMARCB1","SMARCB1",1499.0091
"IL12RB1","IL12RB1",48.3652
"TFAP2B","TFAP2B",0.0031
"BARD1","BARD1",87.2483
"RAPSN","RAPSN",0.34375
"WNT7A","WNT7A",0.5576
"LMAN1","LMAN1",3556.1303
"ING1","ING1",294.6069
"ATXN1","ATXN1",740.80225
"EFEMP1","EFEMP1",388.0647
"PAFAH1B1","PAFAH1B1",2735.3211
"PITX2","PITX2",5.037
"PROP1","PROP1",0
"SQSTM1","SQSTM1",10302.2174
"ALX1","ALX1",0.7835
"CHI3L1","CHI3L1",730.1176
"ATXN2","ATXN2",747.5077
"FGF14","FGF14",19.555
"SMO","SMO",210.62195
"PEX6","PEX6",468.2563
"IGFALS","IGFALS",0.84575
"PPARG","PPARG",83.8198
"DAZL","DAZL",0
"MYO1A","MYO1A",1.8791
"CX3CR1","CX3CR1",34.34315
"DGUOK","DGUOK",695.0498
"CFL2","CFL2",448.8489
"ABCC9","ABCC9",70.9213
"OXCT1","OXCT1",349.1102
"KARS","KARS",3007.29265
"SGCD","SGCD",129.9324
"CTRC","CTRC",0
"T","T",0
"TSG101","TSG101",1508.31105
"TUSC3","TUSC3",102.77345
"CCR5","CCR5",249.44255
"MOGS","MOGS",1446.3898
"PKD1","PKD1",1515.4199
"PTCH1","PTCH1",219.13495
"ACVR1B","ACVR1B",834.99915
"BMPR1A","BMPR1A",462.37305
"MUSK","MUSK",0.0061
"SLC10A2","SLC10A2",0
"ACVRL1","ACVRL1",354.38615
"PLEC","PLEC",9336.8753
"CCR2","CCR2",59.8939
"NODAL","NODAL",2.17845
"MAP2K2","MAP2K2",2606.2664
"CAV3","CAV3",0.0273
"BIN1","BIN1",874.7597
"GAMT","GAMT",67.5625
"DTNA","DTNA",132.0104
"ATR","ATR",625.5206
"SIX1","SIX1",111.8653
"CASR","CASR",0.01035
"TLR1","TLR1",189.1631
"PDE6H","PDE6H",0
"RANBP2","RANBP2",2278.33775
"GCLM","GCLM",345.2541
"CCL11","CCL11",2.3014
"DDX11","DDX11",479.5623
"GDF6","GDF6",3.1137
"GDF5","GDF5",1.4881
"CSTB","CSTB",7009.7977
"DCTN1","DCTN1",4096.3427
"CYP2C9","CYP2C9",0
"CYP2C8","CYP2C8",0.49425
"ABCC2","ABCC2",10.2362
"CTSK","CTSK",155.7009
"PMP22","PMP22",2326.03315
"FOXE3","FOXE3",1.0045
"FOXI1","FOXI1",0.0268
"FOXC1","FOXC1",173.5008
"FOXF1","FOXF1",20.4975
"AARS","AARS",3055.70305
"CAV1","CAV1",449.7706
"VCP","VCP",7762.7344
"NFKBIL1","NFKBIL1",411.4822
"SNTA1","SNTA1",303.5503
"NPC2","NPC2",4379.7492
"CACNA1A","CACNA1A",11.8493
"LEPR","LEPR",171.7923
"GSS","GSS",1341.2594
"EPHB2","EPHB2",178.75845
"SMAD4","SMAD4",798.47015
"TNXB","TNXB",218.238
"NR3C2","NR3C2",60.57055
"DMP1","DMP1",0.6743
"MYO6","MYO6",1487.24175
"SLC12A3","SLC12A3",2.1721
"MYBPC3","MYBPC3",1.0332
"AMH","AMH",3.7433
"AMHR2","AMHR2",0.6579
"AANAT","AANAT",0.6383
"GHR","GHR",26.89875
"SERPINH1","SERPINH1",4002.7701
"KCNJ11","KCNJ11",48.1021
"CRYBB1","CRYBB1",3.245
"PTPRJ","PTPRJ",912.8127
"GFER","GFER",604.8304
"PPOX","PPOX",315.9026
"FGF9","FGF9",0.1708
"PPP1R3A","PPP1R3A",0
"FANCE","FANCE",137.5511
"SGCB","SGCB",558.80535
"GJA8","GJA8",0
"HADHA","HADHA",4587.1386
"MSH3","MSH3",362.2804
"GFI1","GFI1",29.2734
"CSNK1D","CSNK1D",3510.1852
"SDHA","SDHA",2653.2354
"P2RX1","P2RX1",28.4068
"GCKR","GCKR",0.1359
"SLC12A1","SLC12A1",0.2719
"FOXN1","FOXN1",0.0849
"GDNF","GDNF",0.0581
"CXCL12","CXCL12",878.4096
"PDE6C","PDE6C",0
"CSRP3","CSRP3",0
"MRE11A","MRE11A",382.2046
"DDB2","DDB2",362.1579
"LAMA3","LAMA3",136.17125
"BMPR2","BMPR2",2482.3772
"IRS2","IRS2",478.8824
"PYY","PYY",26.82795
"CDKN1B","CDKN1B",1279.8104
"SCNN1G","SCNN1G",0.01735
"SCNN1B","SCNN1B",7.8847
"PSEN2","PSEN2",399.1314
"CEBPE","CEBPE",1.3271
"KCNJ5","KCNJ5",24.2003
"PDX1","PDX1",0.907
"IHH","IHH",2.495
"SHH","SHH",3.5491
"CNGB1","CNGB1",1.77225
"PPT1","PPT1",3219.23615
"PTPN22","PTPN22",50.3401
"HSD11B1","HSD11B1",43.3655
"SCN8A","SCN8A",36.9155
"TNNT3","TNNT3",0.7397
"SLC16A1","SLC16A1",970.0158
"KCNJ2","KCNJ2",82.8772
"MSH6","MSH6",1224.59195
"XRCC3","XRCC3",11.97805
"CHUK","CHUK",513.6902
"MEF2C","MEF2C",496.7081
"MEF2A","MEF2A",1329.83555
"CPT2","CPT2",524.96975
"PVRL1","PVRL1",1072.2832
"NKX2-1","NKX2-1",0.2984
"OPCML","OPCML",1.3466
"ETV6","ETV6",1424.8731
"KLF1","KLF1",0.5399
"NKX2-5","NKX2-5",0
"LHX3","LHX3",0
"GATA4","GATA4",2.2639
"CLCN2","CLCN2",134.27755
"NRXN1","NRXN1",0.84525
"ITIH4","ITIH4",21.5717
"STAT1","STAT1",4906.3277
"ITGA7","ITGA7",277.7627
"VANGL2","VANGL2",466.6353
"NDUFV2","NDUFV2",1470.4289
"AUH","AUH",135.87675
"CPT1A","CPT1A",1184.6283
"DLX3","DLX3",0.87625
"SLC11A2","SLC11A2",1278.804
"PLA2G4A","PLA2G4A",152.3688
"P2RY12","P2RY12",5.0573
"RELN","RELN",12.8119
"ABCC8","ABCC8",0.04615
"IGHMBP2","IGHMBP2",343.28815
"FGF8","FGF8",0.2443
"NTRK2","NTRK2",61.563
"GCNT2","GCNT2",166.4323
"ECE1","ECE1",2612.8388
"TTPA","TTPA",0
"PEX5","PEX5",936.1933
"BBS4","BBS4",414.8792
"SLC25A3","SLC25A3",6167.77595
"GUCA1A","GUCA1A",1.8902
"KCNJ1","KCNJ1",1.53385
"RGR","RGR",0
"COMP","COMP",795.67245
"ACADSB","ACADSB",382.8685
"GARS","GARS",2708.2035
"HNF4A","HNF4A",0.8022
"PEX19","PEX19",1453.4102
"NOTCH3","NOTCH3",2992.7705
"NOTCH2","NOTCH2",4158.8282
"DSC3","DSC3",2.50645
"SLC11A1","SLC11A1",113.7306
"PMS2","PMS2",650.1963
"PDCD1","PDCD1",46.5725
"SCN1B","SCN1B",48.7698
"HMGCS2","HMGCS2",0.3524
"SCNN1A","SCNN1A",342.0513
"GCH1","GCH1",370.9063
"TEK","TEK",114.2191
"RUNX2","RUNX2",295.3974
"ASIP","ASIP",8.0201
"KRT2","KRT2",0.1237
"BRCA2","BRCA2",98.7319
"GUCY2D","GUCY2D",0.6033
"JAK3","JAK3",294.587
"AQP3","AQP3",184.4262
"SCN5A","SCN5A",1.714
"CDKN2A","CDKN2A",686.2069
"KCNMA1","KCNMA1",160.2151
"CREBBP","CREBBP",2076.7063
"SGCA","SGCA",3.88765
"SLC1A3","SLC1A3",248.27585
"MMP13","MMP13",88.98785
"RRAS2","RRAS2",416.0673
"PTPN12","PTPN12",1823.9278
"TBP","TBP",237.77645
"LRP2","LRP2",16.4958
"ITGB2","ITGB2",1535.8238
"CNGA3","CNGA3",0.3605
"ABCA1","ABCA1",1006.5037
"THPO","THPO",0.8809
"BAX","BAX",811.23565
"OTX2","OTX2",0
"EMX2","EMX2",1.7963
"CHIT1","CHIT1",24.3542
"LBR","LBR",1076.4552
"MXI1","MXI1",1025.58935
"OPRM1","OPRM1",0
"CNTN1","CNTN1",39.6463
"CIITA","CIITA",191.17355
"CACNB2","CACNB2",10.8616
"SRY","SRY",0
"USP9Y","USP9Y",375.51615
"ZNF81","ZNF81",97.58085
"ZNF41","ZNF41",208.4328
"ZNF711","ZNF711",17.1425
"XK","XK",17.7384
"KDM5C","KDM5C",1985.3011
"UBA1","UBA1",7298.98885
"SERPINA7","SERPINA7",0
"TAF1","TAF1",833.8983
"SYP","SYP",25.2294
"SYN1","SYN1",13.95615
"SOX3","SOX3",0
"SHOX","SHOX",0
"HTR2C","HTR2C",0.0708
"RS1","RS1",1.36675
"RPGR","RPGR",142.47985
"UBE2A","UBE2A",1472.7364
"PHKA1","PHKA1",214.1072
"PRPS1","PRPS1",696.74
"PGK1","PGK1",13395.8175
"PIGA","PIGA",227.3221
"MAOA","MAOA",813.31495
"FMR1","FMR1",1115.9226
"LAMP2","LAMP2",5365.8861
"L1CAM","L1CAM",48.0377
"KAL1","KAL1",39.38765
"IL2RG","IL2RG",85.9219
"HPRT1","HPRT1",657.0771
"F8","F8",263.6438
"CSF2RA","CSF2RA",113.6218
"GRIA3","GRIA3",3.02585
"G6PD","G6PD",1415.7895
"GATA1","GATA1",0.36175
"GJB1","GJB1",107.0317
"ALAS2","ALAS2",0.2976
"IDS","IDS",3432.54945
"OPN1LW","OPN1LW",0
"OPN1MW","OPN1MW",0
"AFF2","AFF2",25.0835
"PHKA2","PHKA2",519.1787
"RAB39B","RAB39B",26.8484
"RP2","RP2",495.4555
"STS","STS",446.229
"F9","F9",0
"MAGT1","MAGT1",2586.7573
"FAM58A","FAM58A",162.8428
"HUWE1","HUWE1",6411.5984
"NDP","NDP",2.56465
"PORCN","PORCN",170.7686
"AMER1","AMER1",200.1148
"ZDHHC9","ZDHHC9",1688.76805
"GLA","GLA",828.0847
"SRPX2","SRPX2",90.3664
"AP1S2","AP1S2",1194.7276
"FRMD7","FRMD7",0.0264
"C1GALT1C1","C1GALT1C1",448.741
"POF1B","POF1B",1.90385
"SHROOM4","SHROOM4",229.811
"ZNF674","ZNF674",56.0394
"PHF8","PHF8",909.163
"ATP6AP2","ATP6AP2",2626.3787
"BRWD3","BRWD3",218.7012
"MID1","MID1",303.5032
"PHEX","PHEX",11.9427
"FGD1","FGD1",248.9703
"AVPR2","AVPR2",5.2587
"OCRL","OCRL",974.8573
"IQSEC2","IQSEC2",423.20015
"FANCB","FANCB",26.78365
"PDHA1","PDHA1",1289.6195
"FTSJ1","FTSJ1",672.2986
"SH2D1A","SH2D1A",67.0498
"BCOR","BCOR",759.2593
"CYBB","CYBB",1089.9202
"GK","GK",170.7606
"NR0B1","NR0B1",0.3341
"PQBP1","PQBP1",984.2292
"OTC","OTC",0
"PCDH19","PCDH19",23.5702
"NHS","NHS",174.6248
"EDA","EDA",47.0162
"ARHGEF9","ARHGEF9",419.8597
"NLGN4X","NLGN4X",30.1639
"MTM1","MTM1",276.7884
"PHF6","PHF6",714.028
"PLP1","PLP1",4.2296
"TAZ","TAZ",347.72875
"WAS","WAS",163.0533
"AMELX","AMELX",0
"CHM","CHM",580.531
"CD40LG","CD40LG",10.2195
"EMD","EMD",909.8699
"CFP","CFP",31.33395
"ARX","ARX",1.6322
"DMD","DMD",177.20025
"ABCD1","ABCD1",376.3977
"TIMM8A","TIMM8A",284.8323
"NLGN3","NLGN3",15.4877
"TBX22","TBX22",0
"CUL4B","CUL4B",1820.74505
"BTK","BTK",148.3067
"UPF3B","UPF3B",335.55475
"MBTPS2","MBTPS2",380.9399
"FOXP3","FOXP3",26.5756
"NYX","NYX",0
"NSDHL","NSDHL",599.6601
"ARHGEF6","ARHGEF6",487.3858
"ZIC3","ZIC3",0
"HSD17B10","HSD17B10",1190.5329
"IKBKG","IKBKG",541.2754
"BMP15","BMP15",0
"SLC9A6","SLC9A6",511.1607
"IL1RAPL1","IL1RAPL1",0
"EBP","EBP",967.3115
"CDKL5","CDKL5",23.4949
"TRAPPC2","TRAPPC2",388.52875
"DLG3","DLG3",576.5804
"MED12","MED12",1080.09145
"ARSE","ARSE",48.8844
"CASK","CASK",1119.6128
"OFD1","OFD1",642.5442
"AIFM1","AIFM1",1005.4234
"FHL1","FHL1",510.4072
"ACSL4","ACSL4",1251.4917
"XPNPEP2","XPNPEP2",4.7879
"PAK3","PAK3",1.37015
"IGBP1","IGBP1",1144.4959
"ABCB7","ABCB7",435.6644
"OPHN1","OPHN1",189.9957
"DKC1","DKC1",1749.3374
"DCX","DCX",0.0083
"MAMLD1","MAMLD1",98.51125
"CACNA1F","CACNA1F",3.3794
"DIAPH2","DIAPH2",207.4125
"SMS","SMS",1606.7923
"GDI1","GDI1",2593.44175
"TSPAN7","TSPAN7",165.13245
"RBM10","RBM10",1095.15275
"XIAP","XIAP",1245.2162
"NDUFA1","NDUFA1",1347.73235
"RPS6KA3","RPS6KA3",905.7018
"HCCS","HCCS",406.9891
"SMC1A","SMC1A",2272.4077
"POU3F4","POU3F4",0
"GPC3","GPC3",65.0074
"SLC6A8","SLC6A8",3006.26405
"EFNB1","EFNB1",356.8137
"AGTR2","AGTR2",0
"ATRX","ATRX",1123.957
"FLNA","FLNA",18503.397
"ATP7A","ATP7A",456.4051
"CLCN5","CLCN5",300.9819
"MECP2","MECP2",1309.3422
"MYO7A","MYO7A",155.09585
"FAH","FAH",721.3418
"PRSS1","PRSS1",0.3497
